"school_year","year","sector","grade","grade_label","enrollment"
"SY23-24",2023,"Traditional Public",-2,"PK3",320
"SY23-24",2023,"Traditional Public",-1,"PK4",380
"SY23-24",2023,"Traditional Public",0,"K",450
"SY23-24",2023,"Traditional Public",1,"1",460
"SY23-24",2023,"Traditional Public",2,"2",455
"SY23-24",2023,"Traditional Public",3,"3",450
"SY23-24",2023,"Traditional Public",4,"4",445
"SY23-24",2023,"Traditional Public",5,"5",440
"SY23-24",2023,"Traditional Public",6,"6",430
"SY23-24",2023,"Traditional Public",7,"7",420
"SY23-24",2023,"Traditional Public",8,"8",410
"SY23-24",2023,"Traditional Public",9,"9",480
"SY23-24",2023,"Traditional Public",10,"10",420
"SY23-24",2023,"Traditional Public",11,"11",390
"SY23-24",2023,"Traditional Public",12,"12",370
"SY24-25",2024,"Traditional Public",-2,"PK3",315
"SY24-25",2024,"Traditional Public",-1,"PK4",343
"SY24-25",2024,"Traditional Public",0,"K",414
"SY24-25",2024,"Traditional Public",1,"1",448
"SY24-25",2024,"Traditional Public",2,"2",460
"SY24-25",2024,"Traditional Public",3,"3",453
"SY24-25",2024,"Traditional Public",4,"4",440
"SY24-25",2024,"Traditional Public",5,"5",446
"SY24-25",2024,"Traditional Public",6,"6",431
"SY24-25",2024,"Traditional Public",7,"7",439
"SY24-25",2024,"Traditional Public",8,"8",411
"SY24-25",2024,"Traditional Public",9,"9",468
"SY24-25",2024,"Traditional Public",10,"10",447
"SY24-25",2024,"Traditional Public",11,"11",382
"SY24-25",2024,"Traditional Public",12,"12",369
"SY25-26",2025,"Traditional Public",-2,"PK3",311
"SY25-26",2025,"Traditional Public",-1,"PK4",330
"SY25-26",2025,"Traditional Public",0,"K",381
"SY25-26",2025,"Traditional Public",1,"1",409
"SY25-26",2025,"Traditional Public",2,"2",426
"SY25-26",2025,"Traditional Public",3,"3",438
"SY25-26",2025,"Traditional Public",4,"4",453
"SY25-26",2025,"Traditional Public",5,"5",430
"SY25-26",2025,"Traditional Public",6,"6",425
"SY25-26",2025,"Traditional Public",7,"7",425
"SY25-26",2025,"Traditional Public",8,"8",438
"SY25-26",2025,"Traditional Public",9,"9",474
"SY25-26",2025,"Traditional Public",10,"10",419
"SY25-26",2025,"Traditional Public",11,"11",414
"SY25-26",2025,"Traditional Public",12,"12",354
"SY23-24",2023,"Charter",-2,"PK3",60
"SY23-24",2023,"Charter",-1,"PK4",90
"SY23-24",2023,"Charter",0,"K",140
"SY23-24",2023,"Charter",1,"1",145
"SY23-24",2023,"Charter",2,"2",150
"SY23-24",2023,"Charter",3,"3",150
"SY23-24",2023,"Charter",4,"4",148
"SY23-24",2023,"Charter",5,"5",145
"SY23-24",2023,"Charter",6,"6",160
"SY23-24",2023,"Charter",7,"7",165
"SY23-24",2023,"Charter",8,"8",160
"SY23-24",2023,"Charter",9,"9",180
"SY23-24",2023,"Charter",10,"10",150
"SY23-24",2023,"Charter",11,"11",130
"SY23-24",2023,"Charter",12,"12",115
"SY24-25",2024,"Charter",-2,"PK3",70
"SY24-25",2024,"Charter",-1,"PK4",79
"SY24-25",2024,"Charter",0,"K",125
"SY24-25",2024,"Charter",1,"1",144
"SY24-25",2024,"Charter",2,"2",149
"SY24-25",2024,"Charter",3,"3",154
"SY24-25",2024,"Charter",4,"4",150
"SY24-25",2024,"Charter",5,"5",149
"SY24-25",2024,"Charter",6,"6",153
"SY24-25",2024,"Charter",7,"7",161
"SY24-25",2024,"Charter",8,"8",165
"SY24-25",2024,"Charter",9,"9",162
"SY24-25",2024,"Charter",10,"10",173
"SY24-25",2024,"Charter",11,"11",146
"SY24-25",2024,"Charter",12,"12",127
"SY25-26",2025,"Charter",-2,"PK3",83
"SY25-26",2025,"Charter",-1,"PK4",92
"SY25-26",2025,"Charter",0,"K",109
"SY25-26",2025,"Charter",1,"1",125
"SY25-26",2025,"Charter",2,"2",148
"SY25-26",2025,"Charter",3,"3",149
"SY25-26",2025,"Charter",4,"4",159
"SY25-26",2025,"Charter",5,"5",149
"SY25-26",2025,"Charter",6,"6",163
"SY25-26",2025,"Charter",7,"7",156
"SY25-26",2025,"Charter",8,"8",161
"SY25-26",2025,"Charter",9,"9",177
"SY25-26",2025,"Charter",10,"10",157
"SY25-26",2025,"Charter",11,"11",168
"SY25-26",2025,"Charter",12,"12",144
